t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,11,580723928,9272490076
1.0,11,580723928,9277071410
2.0,11,580723928,9277758201
3.0,11,580723928,9279171493
4.0,11,580642008,9280439867
5.0,11,580723928,9288567493
6.0,11,580707544,9297576869
7.0,11,580707544,9298257660
8.1,11,580707544,9298257660
9.1,11,580642008,9298611868
10.1,11,580592856,9299921327
11.1,11,580510936,9305661951
12.1,11,580510936,9305861368
13.1,11,580510936,9305861368
14.1,11,580510936,9305861368
15.1,11,580510936,9305916160
16.1,11,580494552,9311938910
17.1,11,580478168,9312548493
18.1,11,580363480,9315946659
19.1,11,580494552,9316234951
20.1,11,580642008,9321198868
21.1,11,580642008,9325693369
22.1,11,580642008,9325741286
23.1,11,580642008,9325741286
24.2,11,580642008,9325794911
25.2,11,580625624,9325839703
26.2,11,580625624,9330512661
27.2,11,580609240,9330660951
28.2,11,580674776,9332758742
29.2,11,580691160,9333557201
30.2,11,580691160,9334850660
31.2,11,580691160,9339886618
32.2,11,565617880,9339886618
33.2,11,565617880,9339948993
34.2,11,565617880,9339948993
35.2,11,565601496,9339996160
36.2,11,565716184,9346823618
37.2,11,565716184,9346823618
38.2,11,565798104,9349689993
39.2,11,565699800,9351723742
40.3,11,565699800,9351848410
41.3,11,565650648,9357916326
42.3,11,565650648,9358292035
43.3,11,565617880,9359312325
44.3,11,565617880,9359463451
45.3,11,565732568,9363853702
46.3,11,565650648,9370744075
47.3,11,565650648,9371047283
48.3,11,565650648,9371093074
49.3,11,565650648,9371093074
50.3,11,565650648,9373755241
51.3,11,565617880,9380814743
52.3,11,565617880,9381041909
53.3,11,565617880,9381041909
54.3,11,565617880,9381101867
55.3,11,565617880,9381101867
56.4,11,565601496,9384569992
57.4,11,565601496,9389332159
58.4,11,565601496,9390948784
59.4,11,565601496,9395884118
60.4,11,565634264,9397829619
61.4,11,565634264,9404223744
62.4,11,565617880,9404380286
63.4,11,565617880,9404497994
64.4,11,565617880,9405609826
65.4,11,565585112,9405766410
66.4,11,565585112,9411722953
67.4,11,565585112,9412665328
68.4,11,565585112,9412665328
69.4,11,565585112,9412740744
70.5,11,565585112,9412740744
71.5,11,565585112,9417926244
72.5,11,565568728,9418641410
73.5,11,565568728,9418641410
74.5,11,565568728,9418641410
75.5,11,565585112,9419821786
76.5,11,566322392,9444309158
77.5,11,565568728,9455865660
78.5,11,565011672,9467574326
79.5,11,564995288,9467848076
80.5,11,564995288,9467848076
81.5,11,564995288,9474374534
82.5,11,564749528,9475760035
83.5,11,564700376,9475877327
84.5,11,564700376,9475947285
85.5,11,564700376,9475947285
86.5,11,564602072,9483209700
87.5,11,564552920,9486233077
88.6,11,564503768,9494164452
89.6,11,564454616,9495058744
90.6,11,564454616,9496069827
91.6,11,564978904,9518365410
92.6,11,564929752,9526652452
93.6,11,564815064,9536161367
94.6,11,564749528,9537813367
95.6,11,564782296,9537813367
96.6,11,564880600,9545714618
97.6,11,564880600,9547938743
98.6,11,564815064,9550312784
99.6,11,564765912,9556617701
100.6,11,564765912,9558399035
101.6,11,564815064,9564886951
102.6,11,564815064,9566674533
103.7,11,564651224,9569665618
104.7,11,564569304,9572741534
105.7,11,564585688,9573916409
106.7,11,564667608,9585830326
107.7,11,564667608,9587259076
108.7,11,564602072,9591189119
109.7,11,564864216,9610183992
110.7,11,564929752,9620357826
111.7,11,564765912,9629635576
112.7,11,564765912,9631769202
113.7,11,564765912,9634355784
114.7,11,564765912,9637137866
115.7,11,564733144,9643025118
116.7,11,564683992,9648730035
117.7,11,564683992,9648730035
118.8,11,564683992,9648730035
119.8,11,564683992,9648790869
120.8,11,564536536,9649868952
121.8,11,564618456,9657394534
122.8,11,564618456,9657478117
123.8,11,564618456,9657478117
124.8,11,564618456,9657478117
125.8,11,564618456,9657534451
126.8,11,564618456,9663546576
127.8,11,564618456,9663546576
128.8,11,564618456,9665700576
129.8,11,564618456,9665700576
130.8,11,564602072,9665802368
131.8,11,564585688,9670502784
132.8,11,564585688,9670502784
133.9,11,564585688,9670502784
134.9,11,564946136,9683970660
135.9,11,564864216,9693611700
136.9,11,564831448,9698028743
137.9,11,564831448,9698531702
138.9,11,564831448,9698531702
139.9,11,564831448,9698531702
140.9,11,564831448,9704640453
141.9,11,564831448,9704640453
142.9,11,564831448,9704640453
143.9,11,564831448,9704720411
144.9,11,564765912,9705165411
145.9,11,564765912,9709537202
146.9,11,564749528,9709696994
147.9,11,564733144,9709766660
148.9,11,564733144,9709766660
150.0,11,564733144,9709868202
151.0,11,564733144,9714443326
152.0,11,564733144,9714443326
153.0,11,564733144,9714500326
154.0,11,564733144,9714500326
155.0,11,564733144,9715674035
156.0,11,564733144,9721161409
157.0,11,564749528,9722436618
158.0,11,564929752,9751002825
159.0,11,564749528,9759352618
160.0,11,564651224,9762721244
161.0,11,564782296,9770095285
162.0,11,564782296,9770575326
163.0,11,564782296,9774464869
164.0,11,564618456,9777402951
165.0,11,564520152,9777914284
166.0,11,564536536,9784904493
167.1,11,564700376,9804083033
168.1,11,564880600,9812724492
169.1,11,564618456,9818425243
170.1,11,564634840,9819777659
171.1,11,564634840,9823101909
172.1,11,564503768,9826634992
173.1,11,564520152,9829545868
174.1,11,564421848,9830186534
175.1,11,564323544,9830735118
176.1,11,564323544,9837027535
177.1,11,564323544,9837161702
178.1,11,564258008,9840557952
179.2,11,564274392,9842998243
180.2,11,551625944,9852571284
181.2,11,551740632,9864381118
182.2,11,551740632,9864381118
183.2,11,551740632,9864694868
184.2,11,550823104,9864694868
185.3,11,550823104,9864694868
186.3,11,550921408,9880977243
187.3,11,550806720,9881598785
188.3,11,550839488,9884450535
189.3,11,550872256,9895905367
190.3,11,550823104,9898108201
191.3,11,550806720,9904667493
192.3,11,550806720,9904896326
193.3,11,550806720,9904896326
194.3,11,550757568,9906048868
195.3,11,550757568,9906427326
196.3,11,550249664,9921451408
197.4,11,548054208,9938828783
198.4,11,547415232,9942982742
199.4,11,547415232,9942982742
200.4,11,547415232,9942982742
201.4,11,547235008,9954962200
202.4,11,547235008,9954962200
203.4,11,547235008,9954962200
204.4,11,547235008,9955332367
205.4,11,547235008,9955332367
206.4,11,547136704,9965840576
207.4,11,544892096,9975444284
208.4,11,544007360,9978428367
209.5,11,544007360,9978469618
210.5,11,544007360,9978570368
211.5,11,540370112,9991724075
212.5,11,540386496,9993511283
213.5,11,540386496,9993586533
214.5,11,540386496,9993586533
215.5,11,540386496,9993586533
216.5,11,540386496,10000342742
217.5,11,540337344,10000718575
218.5,11,540353728,10003467949
219.5,11,540353728,10003957075
220.5,11,540353728,10003957075
221.5,11,540337344,10011706409
222.5,11,540337344,10012065367
223.6,11,540337344,10012065367
224.6,11,540337344,10012065367
225.6,11,540337344,10012141034
226.6,11,540337344,10025012368
227.6,11,540337344,10026844743
228.6,11,540763328,10055425118
229.6,11,540484800,10060629576
230.6,11,540419264,10061263244
231.6,11,540419264,10067804702
232.6,11,540419264,10067804702
233.6,11,540353728,10073306992
234.6,11,540255424,10074347325
235.6,11,540337344,10078940492
236.6,11,540337344,10084729951
237.6,11,540337344,10085240992
238.7,11,540337344,10085240992
239.7,11,540320960,10088188159
240.7,11,539075776,10094073326
241.7,11,539174080,10102961617
242.7,11,539174080,10102961617
243.7,11,539174080,10104707450
244.7,11,539141312,10105245700
245.7,11,539141312,10105452659
246.7,11,539092160,10112059035
247.7,11,539092160,10112059035
248.7,11,539092160,10113362118
249.7,11,539092160,10113666660
250.7,11,539092160,10113927243
251.7,11,539092160,10119364992
252.7,11,539092160,10119364992
253.7,11,539092160,10120892826
254.7,11,539092160,10121206743
255.8,11,539092160,10124038952
256.8,11,539108544,10131270618
257.8,11,539092160,10134223035
258.8,11,539124928,10138150744
259.8,11,539141312,10138431036
260.8,11,538977472,10142508327
261.8,11,538977472,10148243951
262.8,11,538977472,10148243951
263.8,11,538977472,10150355450
