t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,78,4357000408,72519413611
1.0,78,4354264280,72736937693
2.0,78,4367928560,73108228489
3.0,78,4366273776,73395616866
4.0,78,4360326384,73780067820
5.1,81,4446624608,76528398697
6.1,88,4728454768,79715887693
7.1,85,4663390160,81564028563
8.1,87,4746131880,82857996644
9.3,107,5259554128,87728074384
10.4,103,5485939008,93239381010
11.5,103,5512055416,95509223420
12.5,108,5708456904,98374851058
13.5,104,5587128536,98957195973
14.5,104,5587570904,99457878595
15.5,103,5557341176,99700684348
16.6,102,5525784536,101891011559
17.7,108,5659859896,105685213267
18.8,109,5777975992,109022493762
20.1,107,5935915616,113903040551
21.3,109,6251129624,120612973091
22.4,111,6365410880,123908997343
24.0,107,6463431984,129829102554
25.1,109,6548107040,134786377100
26.5,110,6659405136,138512455516
27.6,111,6751255304,142276022673
28.6,112,6769737728,144023678384
29.6,112,6717227008,144822017677
30.7,112,6715998208,145068339635
31.7,112,6715473920,145327502338
32.7,112,6710722560,145615876251
33.7,112,6711394304,146044127592
34.7,112,6709297152,146290411674
35.7,112,6709460992,146557195215
36.8,112,6648119296,148905404466
37.8,112,6650822680,149951584885
38.8,112,6647300168,151189056302
39.8,112,6666207400,152180753595
40.8,112,6662996136,152591761424
41.9,112,6660898984,153117655300
42.9,112,6672367760,153957979379
43.9,112,6690390184,155103245378
44.9,112,6678937792,155501256341
45.9,112,6662537408,156035340798
46.9,112,6663930096,156595782460
47.9,112,6651330968,157751024381
48.9,112,6642794928,158554236382
49.9,112,6643450312,159176389177
51.0,112,6602703304,159807946011
52.0,112,6599803336,160126404053
53.0,112,6601507272,160837275215
54.0,112,6604096040,161686284843
55.0,112,6603981376,162177467259
56.0,112,6588416624,163326931429
57.0,114,6606096256,164419816221
58.0,114,6602524568,165155598304
59.0,114,6599378840,165810185224
60.1,114,6599346072,166051681391
61.1,114,6656706456,166543838183
62.1,112,6650381056,166861469476
63.1,112,6628836096,167103037975
64.1,112,6618956544,167394729721
65.1,112,6619136768,167595073846
66.1,112,6617793280,168440754719
67.1,112,6580437784,168772128933
68.2,112,6579651352,169021952838
69.2,112,6577505048,169266334215
70.2,112,6577799984,170074428297
71.2,112,6577881904,170355678464
72.2,112,6577832752,170573176510
73.2,112,6577865496,170752801840
74.2,112,6578193224,171197657589
75.2,112,6577570656,171863622509
76.2,112,6581207928,172425039344
77.2,112,6581470072,172685934925
78.2,112,6637781880,173055130383
79.2,112,6628459384,173346310548
80.2,112,6615352208,174026199515
81.2,112,6619972496,174662897680
82.3,112,6623921064,175318871266
83.3,112,6587810728,175801418389
84.3,112,6587646984,176445387882
85.3,112,6589383688,176701702263
86.3,112,6589613064,176926751216
87.3,112,6589629448,177098724425
88.3,112,6588040200,177301970424
89.3,112,6588040200,177508369423
90.3,112,6588089352,177733112174
91.3,112,6588335112,177956409758
92.3,112,6588466184,178168046254
93.3,112,6593233928,178746446338
94.3,112,6593479688,178949732131
95.4,112,6648185864,179427422546
96.4,112,6627591176,179866170334
97.4,112,6614451256,180305195177
98.4,112,6614811704,180617412715
99.4,112,6566151224,180940861509
100.4,112,6564250704,181256620673
101.4,112,6564496488,181535547589
102.4,110,6505364208,182320565593
103.4,110,6505282288,182761899513
104.4,110,6502087408,183177400470
105.5,110,6502267632,183492133010
106.5,110,6502267632,183709752430
107.5,110,6502300400,183963133971
108.5,110,6502185712,184172373014
109.5,110,6502152944,184410716465
110.5,110,6502841072,184634192512
111.5,110,6502972144,184877059473
112.5,110,6502365936,185180255092
113.6,110,6502464240,185417411510
114.6,110,6502480624,185675083256
115.6,110,6502513392,185958553799
116.6,110,6502447856,186191804503
117.6,110,6502021872,186893297969
118.6,110,6502071048,187162540012
119.6,110,6502103816,187403519178
120.6,110,6502103816,187652695926
121.6,110,6502103816,187877514846
122.6,110,6502136584,188074433512
123.7,110,6502152968,188292628466
124.7,110,6502333192,188549289054
125.7,110,6502988552,188776406018
126.7,110,6502955784,189016843011
127.7,110,6502955784,189264925307
128.7,110,6502021896,189528421716
129.7,110,6502152992,189762697177
130.7,110,6502202144,189966762345
131.7,110,6502628152,190257636134
132.7,110,6502644536,190463118884
133.7,110,6512671592,191023370008
134.7,110,6506462032,191249754802
135.7,110,6505888592,191547929048
136.7,111,6527418464,192561256089
137.7,111,6527484000,192793791637
138.8,111,6520635488,193051179176
139.8,111,6520701024,193254311759
140.8,111,6517997664,193453742802
141.8,111,6517964896,193658377265
142.8,111,6517997664,193883587548
143.8,111,6517145696,194337000468
144.8,111,6516408440,194876302221
145.8,111,6529663144,195764640675
146.8,112,6543343856,196905502385
147.8,112,6569034184,197411459296
148.8,112,6565036488,197933783382
149.8,112,6565118456,198376137550
150.8,112,6564250224,199020270762
151.9,112,6562464368,199660246927
152.9,112,6544900720,200269754884
153.9,112,6543655560,201479686301
154.9,112,6550667912,201995621339
155.9,112,6554616480,202955016380
157.0,112,6519718584,203717488299
158.0,112,6516884200,204453382343
159.0,112,6503432936,204933209554
160.0,112,6489015040,205433129429
161.0,112,6493160216,205912828301
162.0,112,6500549472,206681705468
163.0,112,6504055672,207081724554
164.0,112,6490375080,207750582183
165.0,112,6490653704,208370008810
166.0,112,6489179144,208852144803
167.0,112,6489998344,209218849346
168.0,112,6487720992,209723624637
169.1,112,6468125704,210544311554
170.1,112,6470435872,211146765218
