t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,79,4830221808,70478730365
1.0,79,4882717632,71230493242
2.0,79,4875410368,72086326739
3.1,99,5562645680,76133894900
4.4,107,5849387440,82078055893
5.5,109,5952837168,88096209674
6.5,105,6032858736,90482309348
7.6,104,6016784976,92013642465
8.6,103,6040770168,95097098509
9.6,103,6072948248,96930912722
10.6,112,6436585568,101018584418
11.6,105,6249799880,102889438220
12.6,105,6254125304,104598655514
13.6,105,6251880696,104861159806
14.6,105,6251667704,105119341561
15.6,105,6150545656,107078109680
16.6,105,6154592528,107780101300
17.7,105,6154920208,107968395508
18.7,105,6154952976,108166760841
19.7,105,6146777360,108380503638
20.7,105,6145319232,108679898267
21.7,105,6127935808,109201071098
22.7,107,6189902328,110686871847
23.7,106,6156084816,111763717013
24.7,105,6053830928,112519758760
25.7,105,6055715088,112823032889
26.7,105,6055944464,113137179060
27.7,105,6049194256,113327056016
28.7,105,6048162088,113634761725
29.7,105,6049702064,114067048477
30.7,106,6075720672,115526002595
31.8,105,6011642032,116638416595
32.8,105,5995503792,118053627845
33.8,105,5975154960,119403762690
34.8,103,5910403040,120034279513
35.8,103,5900539968,120496808182
36.8,103,5899327552,121193890644
37.8,103,5899343960,121632649807
38.8,103,5889366200,122160200060
39.8,103,5886908624,123071064767
40.8,103,5887138024,123740354599
41.8,103,5886302464,124081174177
42.8,103,5886597400,124709909966
43.8,103,5882124592,125001758509
44.8,103,5882108208,125211140843
45.9,103,5882353992,125422100302
46.9,103,5896427896,125741242886
47.9,103,5896149416,126244319349
48.9,103,5896346024,126443765138
49.9,103,5899573744,126711525013
50.9,103,5901507080,126954732598
51.9,103,5901588976,127197300727
52.9,103,5900884488,127443529103
53.9,103,5901113864,127651346595
54.9,103,5902326304,127880054847
55.9,103,5901359624,128138786511
56.9,103,5905783328,128466141216
57.9,103,5901589000,128657148637
58.9,103,5901883912,128870127222
59.9,103,5903309464,129100568554
61.0,103,5903293080,129376040718
62.0,103,5903571608,129581256675
63.0,103,5896444568,129967730178
64.0,103,5896379032,130216329469
65.0,103,5896411800,130471381049
66.0,103,5896411800,130739819218
67.0,103,5896428160,130934814178
68.0,103,5896903296,131258742219
69.0,103,5896936088,131514588256
70.0,103,5898246808,131783751839
71.0,103,5898263192,132032193470
72.0,103,5897296536,132258126387
73.0,103,5891152536,132567208803
74.0,103,5891283632,132784056969
75.1,103,5891250936,133040310844
76.1,103,5893167864,133607076680
77.1,103,5893200632,133797479476
78.1,103,5893298960,134012104104
79.1,103,5893315344,134212145060
80.1,103,5890824976,134434224645
81.1,103,5890841360,134661176101
82.1,103,5890530064,134944775977
83.1,103,5890644752,135187248269
84.1,103,5888023312,135417276855
85.1,103,5886352144,135768052352
86.1,103,5886925584,135987728554
87.1,103,5886925584,136164649264
88.2,103,5883288384,136431073429
89.2,103,5883272000,136722712725
90.2,103,5882469064,136924048350
