t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,105,5357669560,81308061097
1.0,100,5344920072,83644268842
2.3,106,5518543552,87779303016
3.8,114,5809315920,95349973800
4.8,109,5945399936,101040651472
5.9,106,6069757136,106107084921
7.0,110,6220413080,109487625172
8.0,110,6255490528,111740797750
9.0,110,6297352752,114511631346
10.1,108,6226374984,115683117847
11.1,108,6211727664,117024136218
12.1,108,6213202224,117483606761
13.1,108,6206058800,117852535848
14.2,108,6197375280,119189916262
15.3,108,6195720496,120012394761
16.3,108,6171423096,121770554097
17.3,108,6176059816,122287860470
18.3,108,6170833320,122676034636
19.3,108,6165639592,123171716674
20.3,108,6165082536,123533813259
21.3,108,6163034536,123899531098
22.3,108,6129168808,124333241587
23.3,108,6123352488,124852512806
24.3,108,6121632168,125281057386
25.3,108,6122860968,125609658181
26.4,108,6122697104,126004233886
27.4,108,6121157008,126440361466
28.4,108,6121107856,126793995552
29.4,108,6121238928,127118919718
30.4,108,6121681296,127538636761
31.4,108,6121648528,127904540426
32.4,108,6123663760,128236789422
33.4,108,6148993448,128805192268
34.4,108,6122697128,129675653091
35.4,108,6121877928,130070279686
36.4,108,6123286952,130453723552
37.4,108,6118011352,131716473931
38.5,108,6140703240,132196453218
39.5,108,6146388488,132505779593
40.5,108,6147551752,132919661311
41.5,109,6190298976,134213423461
42.5,109,6183745376,134486100924
43.5,109,6184417192,134765246762
44.5,109,6184466320,135033866421
45.5,109,6202210240,135575498674
46.5,109,6197737408,135873061639
47.5,109,6197901248,136135989837
48.5,109,6202013656,136976464757
49.5,109,6199965656,137240479341
50.6,109,6193936344,137469199634
51.6,109,6196082744,137990435924
52.6,109,6196148280,138275786840
53.6,109,6196082744,138549124260
54.6,109,6194329656,138978119593
55.6,109,6185416760,139457961550
56.6,109,6200244472,140920931263
58.4,109,6281673648,147194855678
59.5,109,6228524000,151330602727
60.5,109,6224165880,152533965292
61.5,109,6222691344,153152969847
62.5,109,6205717520,153486534136
63.5,109,6211615760,153846990141
64.5,109,6211877904,154212164844
65.6,108,6128678608,154328233924
66.6,108,6123009744,154545857425
67.6,108,6201308904,155041870844
68.6,98,5827855000,151771786729
