t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,103,5419912832,87817651637
1.0,105,5464151384,89082861261
2.0,103,5416652368,89570896265
3.0,103,5420994176,90771163222
4.0,103,5415095936,91284788098
5.1,103,5409115776,91903630805
6.1,102,5372987856,92351370725
7.1,102,5364599248,92967206305
8.1,102,5360306664,93870705976
9.1,102,5363403336,95127005432
10.1,105,5455222176,97225628806
11.1,108,5644904064,100991999633
12.4,109,5789001800,106380001968
13.6,106,5818720048,111027248508
14.6,105,5831957384,113539519473
15.6,105,5837282208,114818995641
16.7,105,5841836984,116848565054
17.7,106,5922480424,118981908799
18.7,107,5979973176,120037171346
19.7,107,5977024056,120373429263
20.7,107,5961328184,121369967852
21.7,107,5952775784,122506935304
22.7,109,6040006744,125513386600
23.8,115,6236540048,127510614886
24.8,111,6143474152,129484867510
25.9,111,6224640920,133192162470
27.0,110,6184040360,135991327926
28.1,118,6485286352,139810888917
29.1,116,6497523472,143466370834
30.1,116,6497326840,143942409634
31.2,116,6482024184,144463010387
32.2,116,6470260472,144842947262
33.2,116,6469015288,145209579594
34.2,116,6469637880,145708726841
35.2,116,6466606840,146247178561
36.2,116,6447142648,148289664055
37.2,116,6463854352,149193120382
38.2,116,6464149264,149551828507
39.2,110,6267173040,149037939386
40.2,110,6264649904,149428969343
41.3,110,6269401264,149812255758
42.3,110,6271613104,150221180463
43.3,110,6273431728,150558956379
44.3,110,6274037960,150956714682
45.3,110,6291126472,151556686015
46.3,110,6291814600,151942384599
47.3,110,6301808840,152436161143
48.4,110,6309132488,152966709801
49.4,110,6305642696,153271960926
50.4,110,6305511624,153736729176
51.4,110,6305544392,154124664636
52.4,110,6304856288,154588259213
53.5,110,6372522304,155881001876
54.5,110,6368311616,157637593968
55.6,110,6538918304,160815402311
56.7,113,6834751984,163936497300
57.8,114,6971624640,166745561675
58.9,116,7036081408,168954408720
60.1,117,7142316944,172996115295
61.1,118,7398613464,175862462677
62.2,118,7469801992,177677111298
63.3,119,7542565112,181028658712
64.5,119,7415834944,184190897715
65.5,120,7503162984,187187790338
66.6,121,7493120864,188499321088
67.6,121,7497085840,189427697842
68.7,121,7478162392,190500175039
69.8,121,7406285880,191307113046
70.8,121,7405696056,191737962631
71.8,121,7406597176,192384220876
72.9,120,7372468032,192587445879
73.9,120,7372566336,192925050345
74.9,120,7372631872,193210231135
76.1,120,7375105856,194004031296
77.1,120,7387000664,194967193167
78.1,120,7387049816,195276663918
79.1,120,7387115352,195604484296
80.2,120,7385509720,195942393046
81.2,120,7384477528,196258701216
82.2,120,7374565208,196613396165
83.3,120,7374614360,196964897628
84.3,120,7374565208,197283614882
85.4,120,7374712688,197644956205
86.4,120,7352069928,199132545249
87.5,120,7346450216,200686458714
88.5,120,7231598400,201949083124
89.6,120,7248179080,202976939922
90.6,120,7225454400,203751198636
91.7,120,7225765720,205363071923
92.7,120,7244689312,206468769094
93.8,120,7244705696,206828076218
94.8,120,7244705696,207175195261
95.9,120,7247048608,207650257551
96.9,120,7247425440,208001128294
97.9,120,7251193760,208922522329
99.0,120,7251341240,209249070471
100.0,120,7251406776,209569418762
101.0,120,7248867256,209938148084
102.1,120,7248867256,210381565340
103.1,120,7248932792,210765778466
104.2,120,7248965560,211160260714
105.2,120,7248998328,211500420252
106.2,120,7249063864,211846925248
107.3,120,7252045752,212808096251
108.3,120,7252340640,213266906425
109.3,120,7250341792,213585991920
110.3,120,7250407328,213920213337
111.3,120,7234531232,214422496544
112.3,120,7226732448,214781116418
113.4,120,7226634144,215048183003
114.4,120,7227371424,215508582919
115.4,120,7228092320,215919267210
116.4,120,7226355880,217600109169
117.4,120,7223095512,217969431463
118.4,120,7219835048,218248704370
119.4,120,7218639016,218520236624
120.4,120,7217918120,218768433624
121.4,120,7207776424,219161636042
122.4,120,7203926400,220360611961
123.5,120,7203680688,220682797006
124.5,120,7199257008,220924885715
125.5,120,7201616304,221201183293
126.5,119,7170272368,221295275380
127.5,119,7172402408,222045320002
128.5,119,7157984632,222923538709
129.5,119,7157362040,223241991168
130.5,119,7157050840,224174587183
131.5,119,7157116376,224508211089
132.5,118,7119333552,224860139209
133.5,118,7110764744,225445485755
134.5,118,7120742672,226108714583
135.5,118,7125002584,226876014376
136.6,119,7207956024,228936685462
137.6,119,7279603280,230539080710
138.6,120,7535785208,234158663784
