t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,72,3984160368,60922115577
1.0,72,3984225904,61169440331
2.0,72,3984291440,61379546247
3.0,72,3984340592,61623066953
4.0,72,3984438896,61852372784
5.0,72,3984488048,62209578912
6.1,72,3984684656,62562673328
7.1,71,3950948728,62791564242
8.1,71,3951079800,63171239498
9.1,71,3950244216,63523174995
10.1,71,3948179712,63955329243
11.1,71,3947999488,64295556741
12.2,71,3938627840,64733898872
13.2,71,3936301552,67134014827
14.2,71,3942855176,67868061326
15.2,71,3933434496,68963198322
16.3,74,4094444096,71748370366
17.3,75,4172940464,75132699616
18.4,75,4278880128,78262994197
19.4,75,4274456448,78856302702
20.4,75,4272326528,79132749123
21.4,75,4275439512,79751604655
22.4,75,4284073904,80473723365
23.4,74,4245095024,80778177614
24.4,77,4331278584,82025396113
25.5,84,4567232992,83751876859
26.5,78,4396357128,84375179907
27.5,78,4388754976,85158355903
28.5,78,4431697560,86364928867
29.5,79,4482374496,87533175115
30.5,81,4599572080,90017129736
31.6,81,4706772712,91856865449
32.6,81,4715734760,92988938449
33.6,81,4726154984,94040801241
34.6,81,4752631528,94922540237
35.6,83,4804063064,96312085035
36.7,83,4822790456,96887415366
37.7,83,4826837352,97604766776
38.7,83,4816204136,98185857188
39.7,83,4810502504,98756294943
40.7,84,4845795008,99505670945
41.7,84,4885690072,100245629071
42.7,84,4895045360,101271330358
44.0,87,5189519168,104903028355
45.4,104,5827169224,111109420050
46.4,97,5796100360,114056607264
47.5,100,5966137232,117467061928
49.3,107,6325476520,125176489048
51.1,105,6544319360,134664836603
52.1,105,6552216568,137238470849
53.2,105,6578857048,139516675970
54.2,103,6507780856,141527851850
55.3,103,6474029144,143348147064
56.3,102,6462658456,144502389096
57.3,102,6468474824,145384792050
58.3,102,6468409288,145930763648
59.3,102,6463264712,146194163814
60.5,102,6453843912,147204692472
61.5,102,6439933896,148717968811
62.5,102,6439933896,148984495892
63.5,100,6366809608,149539123098
64.5,100,6361927176,149920544096
65.5,100,6361288224,150408360850
66.6,100,6361386576,151096779434
67.6,100,6358732392,151449516180
68.6,100,6378327632,152351356467
69.6,100,6381260392,153571164473
70.6,100,6378557032,154150741059
71.6,99,6350932312,154975031849
72.6,99,6340331792,155797930932
73.6,99,6338726160,156814326849
74.6,99,6333483280,157299102801
75.6,99,6303287568,158795433058
76.7,101,6304632160,159361939265
77.7,101,6302682368,159839220682
78.7,101,6304566528,160475294813
79.7,101,6300028160,160995056772
80.7,101,6295325952,161863359649
81.7,101,6292327728,162438530143
82.7,99,6286362752,162734393104
83.7,98,6235882352,163278436976
84.7,98,6243271680,164746188015
85.8,98,6163334144,166472076980
86.8,98,6110807040,167852792021
87.8,99,6134876240,169276382142
88.8,99,6145706136,170345287931
89.8,101,6095653832,171533480135
90.8,100,6067407264,172528628477
91.8,100,6048041424,173403060855
92.8,100,6052497920,173920285897
93.8,100,6055250432,174895327513
94.8,100,6011177472,175979563346
95.8,100,5982407168,176856977474
96.8,100,5978081816,177345435221
97.8,100,5977049624,177637654677
98.8,100,5981227544,178165936012
99.8,100,5977295384,178576969433
100.9,100,5978917448,179029460138
101.9,100,5978475080,179363975515
102.9,99,5945181520,179596649849
103.9,99,5944788304,179857881768
104.9,99,5944984912,180335763433
105.9,99,5945886032,180740059594
106.9,99,5948343632,181134715807
107.9,99,5947491664,181551472812
108.9,99,5946377552,181947135066
109.9,99,5949261136,182523385148
110.9,99,5951063424,183179881814
111.9,99,5947491712,183491835268
113.0,99,5949883776,184062053181
114.0,99,5950195072,184552259597
115.0,99,5936137672,185448743016
116.0,99,5932008952,186063412100
117.0,99,5932107256,186317033640
118.0,99,5932025384,186555235015
119.0,99,5930731072,186854270516
120.0,99,5926045272,187133698435
121.0,99,5926372976,187438331602
122.0,99,5926438512,187722742938
123.0,99,5926045344,188057729187
124.0,99,5925373600,188318658770
125.0,99,5925455520,188561271981
126.1,99,5924816544,188866615690
127.1,99,5924800160,189053030355
128.1,99,5924718240,189269772478
129.1,99,5924767392,189470620933
130.1,99,5924751008,189665946810
131.1,99,5924783776,189894417227
132.1,99,5926405768,190186858684
133.1,100,5945149856,190738609394
134.1,99,5903238816,191114248812
135.2,99,5903779560,191774631686
136.3,101,5953506560,192385633388
137.3,101,5963943096,192736801433
138.3,101,5966007624,193134239768
139.3,101,6000135592,193995445599
140.3,102,6035919256,194806037640
141.3,101,6001905088,195507863844
142.3,101,6006525496,196146076053
143.3,101,6011506208,196694899179
144.3,101,6012980744,197253061515
145.3,101,6081089032,197699191806
146.3,101,5996252728,198195865600
147.3,101,5997940280,198903924185
148.4,99,5902714720,196345211145
149.4,99,5912364896,196785872270
150.4,99,5915625312,197014708514
151.4,99,5915215712,197219351347
152.4,100,5927192776,197527912719
153.4,99,5912495968,197728001138
154.4,99,5912610656,197962172555
155.4,99,5907810216,198211663434
156.4,99,5903566760,198456632851
157.4,99,5903583144,198654460518
158.5,99,5903615912,198862242977
159.5,99,5908727720,199488420310
160.5,99,5907859392,199712013974
161.5,99,5907892160,199965813220
162.5,99,5907531712,200263250848
163.5,99,5907367872,200509038015
164.5,99,5907597296,200774459053
165.5,99,5908400112,201042768348
166.6,99,5898618864,201384829103
167.6,99,5897996272,201579001148
168.6,99,5898045424,201846872396
169.6,99,5898078192,202047175063
170.6,99,5895899120,202328800982
171.6,99,5895899120,202552301977
172.6,99,5895915504,202771637769
173.6,99,5895817248,203018582393
174.6,99,5895817248,203227880726
175.7,99,5895882784,203494621644
176.7,99,5895882784,203725168431
177.7,99,5904631840,203974265435
178.7,99,5910153296,204234532728
179.7,99,5896292384,205159676519
180.7,99,5895293032,205480903598
181.7,99,5887002728,206435146722
182.7,99,5882824784,207097302015
183.7,99,5881940048,207551822847
184.7,99,5881956432,207775640391
185.7,99,5880711176,208181826638
186.8,99,5878384648,208815452770
187.8,99,5861869576,209288734643
188.8,99,5861967880,209483815645
189.8,99,5862082568,209675967559
190.8,99,5862066184,209889438270
191.8,99,5862066184,210095405478
192.8,99,5862115336,210352104855
193.8,99,5862164488,210613201107
194.8,99,5854414856,210950341065
195.8,99,5854136328,211628561812
196.8,99,5853235208,211948327813
197.8,99,5853218824,212166257103
198.9,99,5856397344,212448630687
199.9,99,5874812936,212917214692
200.9,99,5873125432,213199128689
201.9,99,5873272888,213396808351
202.9,99,5874763832,213620540307
203.9,99,5873928248,213862993854
204.9,99,5868734544,214147447307
205.9,99,5864409168,214394374645
206.9,99,5859346560,214825017269
207.9,99,5859231872,215058267561
209.0,99,5864523880,215740004431
210.0,99,5878401176,216168886224
211.0,99,5878384816,216440534514
212.0,99,5877450928,216658379146
213.0,99,5879023792,216894408641
214.0,99,5879072944,217132581601
215.0,99,5884332304,217921774975
216.0,99,5876730128,218191609892
217.0,99,5877860696,218522998476
218.0,99,5877909848,218821612643
219.0,99,5877483888,219231556387
220.1,99,5878647152,219558835015
221.1,99,5879056752,219920755808
222.1,99,5877942640,220355430597
223.1,99,5878008176,220596662681
224.1,99,5877729648,220818289723
225.1,99,5873584496,221057917767
226.1,99,5873863072,221447279182
227.1,99,5867702688,221730822060
228.1,99,5867211168,222030187806
229.2,99,5867080144,222324082394
230.2,99,5866637776,222587320185
231.2,99,5866637776,222802221353
232.2,99,5866850792,223145966809
233.2,99,5866523112,223400884308
234.2,99,5866523112,223629125975
235.2,99,5866146280,223919178348
236.2,99,5865769448,224177866433
237.2,99,5865769448,224378102389
238.3,99,5865802216,224633389224
239.5,99,5945625088,225376816266
240.5,99,5947427376,225854165221
241.5,99,5933484592,226193936142
242.5,99,5935155760,226680269683
243.5,99,5933894240,227001146976
244.5,99,5878860384,227302765228
245.5,99,5878614648,227678528480
246.5,99,5874272888,228045081808
247.5,99,5872847408,228399570639
248.5,99,5886724656,228770616054
249.6,99,5888018992,229143500848
250.6,99,5886069296,229571198845
251.6,99,5885823536,230050672592
252.6,99,5885970992,230358249799
253.6,99,5881514544,230667210177
254.6,99,5882464816,231615282098
255.6,99,5877467696,232036071354
256.6,99,5877762608,232349583351
257.7,99,5877975600,232671773725
258.7,99,5877566024,233017398185
259.7,99,5877664328,233462010096
260.7,99,5880236616,233873000475
261.7,99,5880433224,234235045724
262.7,99,5881137736,234628876936
263.7,99,5880105544,235039060555
264.7,99,5897718344,235550740309
265.7,99,5895539272,236061703936
266.7,99,5893851744,236367913020
267.7,99,5892770400,236767535393
268.7,99,5896997496,237154467938
269.7,99,5887101560,237692069479
270.8,99,5888264824,237976257603
271.8,99,5883464312,238278329977
272.8,99,5883284088,238655052516
273.8,99,5883398776,239050452473
274.8,99,5878057592,239385835724
275.8,99,5872896632,239723064017
276.8,99,5873339000,240102763146
277.8,99,5873027704,240410562731
278.8,99,5873175160,240860017565
279.8,99,5873715904,241176953108
280.8,99,5873978048,241478169438
281.8,99,5874141888,241761998728
282.8,99,5874174656,242025224183
283.9,99,5873765056,242312879268
284.9,99,5873781440,242619142687
285.9,99,5874698944,242967536730
