t_sec,nprocs,footprint_bytes,cpu_nanos
0.0,61,3034131432,44266004582
1.0,59,2949554656,44336567872
2.0,59,2954863000,44820271375
3.0,59,2951258592,45414146252
4.0,59,2946327032,45771129168
5.0,58,2916736352,46435065292
6.0,58,2916916576,46826493710
7.1,58,2915818848,47117469919
8.1,58,2895961440,47834990624
9.1,58,2893208952,48709453958
10.1,58,2893421968,48889420125
11.1,58,2893798824,49444176538
12.1,58,2899516840,50429423958
13.1,58,2900254120,50597266962
14.1,58,2891570624,50793656252
15.1,58,2892783064,51167637540
16.1,58,2892881368,51313018124
17.1,58,2892799448,51449466796
18.1,58,2892865008,51620526589
19.1,58,2893045232,51756301546
20.1,58,2893078000,51891982006
21.1,58,2893225456,52026441714
22.2,58,2888867312,52865437876
23.2,59,2917556824,53185936668
24.2,59,2925159216,53356468088
25.2,59,2920244016,53632624046
26.2,59,2922881840,53793244589
27.2,60,2937873560,54016312337
28.2,59,2924094256,54494532420
29.2,59,2933252960,54831678376
30.2,59,2933138272,54998052254
31.2,59,2933875552,55193692627
32.2,59,2935366520,55412290835
33.2,59,2936398712,55638581294
34.2,59,2935333752,55795278038
35.2,59,2936775544,56043792582
36.2,59,2934334304,56313279706
37.3,59,2933662560,56477714954
38.3,59,2933384008,56631103415
39.3,59,2925454152,56828865245
40.3,59,2925568840,56965709085
41.3,59,2924831560,57097219709
42.3,59,2924864328,57231584710
43.3,62,3017847080,57792305000
44.3,82,3697462440,61599473235
45.4,86,3820868456,65562914233
46.4,83,3911013992,68906235738
47.4,81,3857960416,69906420985
48.4,82,3894317736,70684539608
49.4,82,3886764736,71122144989
50.4,83,3927398304,71882028615
51.4,84,3960413264,72403142774
52.4,84,3961068648,72726024397
53.4,84,3938244752,73600661278
54.4,83,3917813544,74078739950
55.4,83,3908409128,74394933654
56.4,83,3901462336,74582772734
57.4,83,3898808128,74728185566
58.4,83,3897562944,74865145024
59.5,83,3896694592,75015001063
60.5,83,3916487112,75950685699
61.5,83,3940817376,76521960361
62.5,83,3938392544,76677742235
63.5,83,3937343968,76855814318
64.5,83,3930495456,76996497153
65.5,83,3920746976,77169016403
66.5,83,3921041888,77316212530
67.5,83,3921123808,77469861201
68.5,83,3921172960,77610685655
69.5,83,3920976352,77739047239
70.5,83,3921222112,78345772655
71.5,83,3921320416,78484437194
72.5,83,3921533408,78810023989
73.6,83,3922450912,79005887778
74.6,83,3920910960,79715928030
75.6,83,3917241016,80075784322
76.6,83,3916946152,80362751028
77.6,83,3898825448,80979739986
78.6,83,3895466728,81292591235
79.6,83,3895909096,81833639028
80.6,83,3895778024,81979013652
81.6,83,3897563880,82405331060
82.6,83,3897596648,82568789522
83.7,84,3930447864,82833030105
84.7,82,3870070400,82733147527
85.7,82,3867891328,82888975781
86.7,82,3867956864,83013133992
87.7,82,3868038784,83137489031
88.7,82,3868104320,83259000909
89.7,82,3868071552,83380874533
90.7,82,3868169856,83500114949
91.7,82,3868284544,83622752948
92.7,82,3868448384,83748651527
93.7,82,3865925248,83883022112
94.7,82,3866056320,84008159943
95.7,82,3866154624,84152837441
96.7,82,3866318464,84319281940
97.8,82,3866547840,84499978066
98.8,82,3866760832,84695915440
99.8,82,3866924672,84860541067
100.8,82,3866990208,85004617776
101.8,82,3868464768,85193971527
102.8,82,3868546688,85349849361
103.8,82,3868628656,85553185484
104.8,82,3868087984,85735753856
105.8,82,3867825912,85923713151
106.8,82,3867891448,86075631736
107.8,82,3868006136,86221747445
108.8,82,3868153592,86387360027
109.8,82,3874264920,86925770732
110.8,82,3874395992,87078521607
111.9,82,3874887512,87236329775
112.9,82,3874985816,87371623149
113.9,81,3835335240,87549967655
114.9,81,3835220576,87717849028
115.9,81,3835368032,87870505111
116.9,81,3835449952,87990804989
117.9,81,3835466336,88122728404
118.9,81,3835548256,88256752906
119.9,81,3834319600,88665855826
120.9,81,3834401520,88795959323
121.9,81,3833058032,88939150576
122.9,81,3833975536,89134109533
123.9,81,3833369352,89277948744
124.9,81,3833451272,89395338364
125.9,81,3832746784,89520478410
127.0,81,3832861472,89637089743
128.0,81,3833008928,89763180493
129.0,81,3831960352,89909862118
130.0,81,3832009528,90036474033
131.0,81,3832156984,90171053617
132.0,81,3832271672,90320976199
133.0,81,3832402768,90442088821
134.0,81,3832222592,90590497697
135.0,81,3832288128,90721820362
136.0,81,3832402816,90847920609
137.0,81,3831747504,91001830357
138.0,81,3831534512,91118369526
139.0,81,3831419848,91257451606
140.0,81,3831567304,91387830231
141.0,81,3831681992,91511844106
142.1,82,3876952112,92074784316
143.1,82,3891320928,92243938942
144.1,83,3924581840,92534891403
145.1,83,3926515152,92802421732
146.1,83,3925056976,92967426024
